year,quarter,gdp_growth_pct,unemployment_rate,inflation_rate,trade_balance_sgd_bn,property_price_index,tourist_arrivals
2017,4Q,3.46,2.04,1.68,12.5,161.2,"8,260,144"
2018,1Q,2.92,2.05,1.45,10.1,159.0,"8,107,343"
2018,2,3.55,1.98,2.01,20.6,163.0,"8,305,308"
2018,Q3,3.04,1.87,,18.3,168.7,"8,965,120"
2018,4Q,3.01,2.02,3.05,6.9,171.6,"8,661,248"
2019,1Q,0.67,2.36,0.63,21.9,171.7,"8,877,445"
2019,Q2,0.65,2.32,1.04,19.9,175.0,"9,657,346"
2019,Q3,0.69,2.29,1.21,9.8,175.1,"9,164,142"
2019,4Q,0.41,2.23,1.25,,180.6,"8,832,008"
2020,Q1,-3.16,2.73,6.22,6.8,172.0,"176,640"
2020,Q2,-13.5,4.02,,22.0,170.2,"3,532"
2020,3Q,-5.91,4.46,5.27,16.3,161.4,70
2020,Q4,-2.51,4.21,5.78,16.1,155.0,1
2021,1Q,-0.86,3.04,4.03,6.5,164.6,0
2021,Q2,15.35,2.65,3.78,20.2,172.9,0
2021,Q3,7.36,2.22,,5.5,174.7,0
2021,4Q,6.0,1.98,4.33,9.1,173.0,0
2022,1,4.64,1.86,5.47,7.4,165.0,"100,000"
2022,2Q,4.33,2.17,5.74,18.2,167.4,"123,953"
2022,3,4.0,2.07,5.73,8.4,182.2,"159,484"
2022,4Q,2.47,1.88,5.65,20.5,189.3,"206,614"
2023,1Q,1.97,1.86,3.76,16.2,188.2,"265,070"
2023,2Q,1.78,1.95,4.37,5.6,191.9,"317,442"
2023,3,0.99,1.79,3.59,5.1,185.9,"408,396"
2023,4,1.57,1.81,4.9,5.9,186.0,"499,725"
2024,1,2.1,1.86,2.84,,188.0,"511,923"
2024,2,2.5,1.76,0.9,18.6,189.1,"490,449"
2024,3Q,3.12,1.9,2.11,9.1,194.3,"506,561"
2024,4Q,2.93,1.88,2.04,19.4,197.5,"497,816"
2019,Q2,0.65,2.32,1.04,19.9,175.0,"9,657,346"
