trip_id,pickup_datetime,dropoff_datetime,pickup_zone,dropoff_zone,distance_km,fare_sgd,tip_sgd,payment_type,passengers
SG-TX-100020,2024-07-25 15:45:47,2024-07-25 15:55:56,Tampines,Jurong West,4.3,3.9,,Credit Card,3
SG-TX-100021,2022-09-22 13:03:02,2022-09-22 13:40:53,Pasir Ris,Bedok,6.48,5.72,,Cash,3
SG-TX-100022,2022-11-25 11:11:38,2022-11-25 11:39:18,Bugis,Novena,21.43,10.52,,Cash Payment,3
SG-TX-100023,2022-12-20 10:50:19,2022-12-20 11:29:10,,Buona Vista,1.34,3.9,,Cash Payment,4
SG-TX-100024,2022-07-14 10:00:36,2022-07-14 10:53:45,Orchard,Holland Village,17.87,13.74,2.01,VISA,1
SG-TX-100025,2022-06-20 08:44:05,2022-06-20 08:54:26,Little India,Hougang,24.99,15.75,2.12,credit card,2
SG-TX-100026,2023-01-16 07:53:49,2023-01-16 08:14:26,Tampines,Toa Payoh,0.68,4.49,,GrabPay,2
SG-TX-100027,2024-08-16 05:57:54,2024-08-16 06:31:18,Serangoon,Jurong West,4.45,4.4,,GRAB,3
SG-TX-100028,2022-01-02 16:22:32,2022-01-02 17:10:51,Queenstown,Holland Village,17.02,9.25,1.43,Card,2
SG-TX-100029,2022-11-07 10:31:38,2022-11-07 11:09:40,Serangoon,Jurong West,1.97,3.9,,cash,4
SG-TX-100030,2022-03-08 10:43:56,2022-03-08 11:09:59,Little India,Bukit Timah,14.95,10.56,0.92,Credit Card,2
SG-TX-100031,2023-09-08 09:25:01,2023-09-08 10:03:34,Holland Village,Woodlands,17.26,12.97,,Cash Payment,4
SG-TX-100032,2022-10-02 15:49:45,2022-10-02 16:48:38,Pasir Ris,Clementi,14.91,11.96,,CASH,4
SG-TX-100033,2024-05-18 00:05:42,2024-05-18 00:37:06,Novena,Ang Mo Kio,9.45,9.1,,Cash,1
SG-TX-100034,2023-10-04 04:16:53,2023-10-04 05:10:28,Chinatown,Bukit Timah,17.58,10.71,,Cash,4
SG-TX-100035,2024-05-09 01:42:33,2024-05-09 02:30:26,Woodlands,Kallang,15.06,10.71,,CASH,4
SG-TX-100036,2023-11-27 20:36:48,2023-11-27 20:58:22,Sengkang,Newton,5.59,5.93,4.19,credit card,1
SG-TX-100037,2023-04-26 11:18:43,2023-04-26 11:37:26,Changi Airport,Raffles Place,14.3,10.03,,Cash,2
SG-TX-100038,2024-08-01 14:52:37,2024-08-01 15:39:58,Orchard,Raffles Place,22.11,16.9,,cash,4
SG-TX-100039,2023-06-06 23:28:20,2023-06-06 23:44:44,Punggol,Bedok,16.84,8.83,,CASH,4
SG-TX-100040,2024-11-07 03:04:37,2024-11-07 03:28:08,Sengkang,Raffles Place,12.06,8.97,2.41,Card,2
SG-TX-100041,2024-12-26 04:38:05,2024-12-26 04:56:01,Bishan,Raffles Place,8.38,9.49,,Credit Card,3
SG-TX-100042,2023-10-08 13:36:57,2023-10-08 14:15:17,Serangoon,Holland Village,2.6,3.9,,cash,1
SG-TX-100043,2027-12-28 13:20:00,2027-12-28 13:41:10,Holland Village,Toa Payoh,6.49,5.86,,Cash Payment,3
SG-TX-100044,2022-10-08 04:56:52,2022-10-08 05:38:04,Jurong West,Hougang,0.77,3.9,,NETS,3
SG-TX-100045,2024-06-11 20:14:58,2024-06-11 21:11:22,Woodlands,Hougang,24.67,14.67,1.09,VISA,2
SG-TX-100046,2024-01-07 01:33:42,2024-01-07 02:24:19,Ang Mo Kio,Clementi,5.95,4.18,1.5,Credit Card,2
SG-TX-100047,2024-09-16 04:46:46,2024-09-16 05:43:54,Tampines,Sengkang,20.46,14.0,,credit card,4
SG-TX-100048,2022-10-20 15:23:08,2022-10-20 15:29:28,Punggol,Ang Mo Kio,4.63,6.98,,GrabPay,2
SG-TX-100049,2027-12-28 13:20:00,2027-12-28 13:50:03,Jurong West,Little India,7.45,8.01,,GRAB,2
SG-TX-100050,2023-05-31 10:08:07,2023-05-31 10:25:13,Toa Payoh,Marina Bay,10.75,7.43,2.24,Mastercard,2
SG-TX-100051,2022-07-22 22:57:26,2022-07-22 23:52:54,Raffles Place,Chinatown,8.45,7.83,,credit card,2
SG-TX-100052,2022-07-07 15:09:20,2022-07-07 15:53:29,Buona Vista,Little India,20.06,11.58,,CASH,2
SG-TX-100053,2023-09-09 03:20:20,2023-09-09 03:42:56,,Little India,23.96,14.18,,Mastercard,3
SG-TX-100054,2022-12-17 02:48:06,2022-12-17 03:24:05,Clementi,Jurong West,21.94,17.01,2.84,Credit Card,4
SG-TX-100055,2022-04-22 16:13:26,2022-04-22 16:51:43,Changi Airport,Bukit Timah,4.26,5.96,,Cash,3
SG-TX-100056,2023-04-14 03:39:22,2023-04-14 04:11:37,Clementi,Toa Payoh,19.53,10.91,,nets,1
SG-TX-100057,2023-12-17 14:27:49,2023-12-17 14:58:54,Tiong Bahru,Holland Village,4.12,6.03,,GRAB,2
SG-TX-100058,2022-12-16 13:38:20,2022-12-16 13:46:22,Woodlands,Clementi,22.88,12.17,,CASH,3
SG-TX-100059,2024-11-13 01:30:40,2024-11-13 02:00:33,Sengkang,Changi Airport,13.19,8.04,,NETS,3
SG-TX-100060,2024-05-04 09:12:52,2024-05-04 09:37:01,Marina Bay,Bukit Timah,8.74,6.27,,Cash,4
SG-TX-100061,2023-07-16 22:54:15,2023-07-16 23:44:15,Hougang,Punggol,4.35,5.19,3.72,Mastercard,2
SG-TX-100062,2024-10-21 09:07:51,2024-10-21 10:00:25,Novena,Holland Village,0.79,5.66,,GrabPay,2
SG-TX-100063,2027-12-28 13:20:00,2027-12-28 14:06:16,Little India,Changi Airport,6.57,7.73,,Cash,3
SG-TX-100064,2022-06-03 01:50:27,2022-06-03 01:57:08,,Kallang,22.89,14.99,,VISA,1
SG-TX-100065,2022-02-09 06:48:27,2022-02-09 07:39:43,,Hougang,20.03,11.27,,credit card,3
SG-TX-100066,2024-10-25 01:46:18,2024-10-25 02:13:06,Buona Vista,Marina Bay,24.26,14.01,,Cash Payment,4
SG-TX-100067,2024-11-17 21:54:32,2024-11-17 22:22:26,Raffles Place,Jurong East,2.97,5.64,2.52,VISA,3
SG-TX-100068,2024-03-21 05:14:19,2024-03-21 06:11:17,Little India,Tiong Bahru,15.01,9.71,,Cash,2
SG-TX-100069,2022-04-23 21:22:57,2022-04-23 22:15:39,,Jurong East,6.8,6.54,,VISA,4
SG-TX-100070,2022-11-18 20:10:57,2022-11-18 20:18:44,Bedok,Clementi,13.8,10.77,,Cash Payment,-1
SG-TX-100071,2022-02-15 00:32:40,2022-02-15 00:57:27,Queenstown,Toa Payoh,8.35,7.13,,Cash Payment,3
SG-TX-100072,2022-02-26 04:02:30,2022-02-26 04:48:44,Tiong Bahru,Chinatown,7.44,7.59,4.93,Credit Card,4
SG-TX-100073,2022-09-27 16:32:10,2022-09-27 17:06:48,Paya Lebar,Bugis,14.56,12.84,,CASH,1
SG-TX-100074,2023-09-20 01:36:59,2023-09-20 01:56:09,Changi Airport,Tampines,4.99,5.89,2.74,credit card,4
SG-TX-100075,2022-03-13 19:42:45,2022-03-13 20:16:36,Clementi,Ang Mo Kio,11.99,11.07,2.45,Mastercard,3
SG-TX-100076,2024-12-15 02:56:51,2024-12-15 03:49:30,Chinatown,Bukit Timah,16.44,12.14,,Grab,3
SG-TX-100077,2023-05-14 19:25:10,2023-05-14 19:42:26,Tampines,Newton,3.64,3.9,,cash,1
SG-TX-100078,2022-10-17 04:11:34,2022-10-17 04:57:36,Serangoon,Pasir Ris,23.3,12.73,,GRAB,4
SG-TX-100079,2023-07-20 15:10:24,2023-07-20 15:55:48,Raffles Place,Changi Airport,12.89,8.45,,credit card,1
SG-TX-100080,2024-05-16 00:14:45,2024-05-16 01:08:27,Marina Bay,Toa Payoh,20.58,11.88,,Cash Payment,4
SG-TX-100081,2022-12-09 13:50:23,2022-12-09 14:11:46,Bukit Timah,Clementi,16.52,11.2,,GrabPay,4
SG-TX-100082,2022-02-22 01:47:58,2022-02-22 02:04:50,Pasir Ris,Changi Airport,17.9,12.87,3.05,credit card,2
SG-TX-100083,2022-02-25 20:27:52,2022-02-25 21:02:59,Punggol,Little India,18.05,13.9,,VISA,2
SG-TX-100084,2024-07-22 18:38:12,2024-07-22 19:12:25,Jurong East,Clementi,21.94,14.24,,Credit Card,1
SG-TX-100085,2022-05-03 07:32:09,2022-05-03 07:59:40,Raffles Place,Toa Payoh,15.53,10.22,,Card,2
SG-TX-100086,2023-11-28 13:51:38,2023-11-28 14:39:29,Changi Airport,Punggol,7.32,4.07,,NETS,1
SG-TX-100087,2023-02-26 10:00:11,2023-02-26 10:49:07,Pasir Ris,Woodlands,2.94,5.33,,VISA,-1
SG-TX-100088,2024-05-02 03:48:37,2024-05-02 04:07:07,Changi Airport,Chinatown,15.35,10.85,,GrabPay,3
SG-TX-100089,2022-03-08 08:08:25,2022-03-08 08:57:10,Toa Payoh,,2.13,5.13,,Mastercard,1
SG-TX-100090,2024-09-10 23:31:33,2024-09-10 23:49:14,Buona Vista,Sengkang,6.41,9.94,,GRAB,4
SG-TX-100091,2024-02-05 05:10:57,2024-02-05 05:38:22,Woodlands,Holland Village,1.99,6.66,,nets,1
SG-TX-100092,2023-05-08 09:48:04,2023-05-08 09:54:33,Novena,Changi Airport,13.95,11.35,,cash,3
SG-TX-100093,2022-08-15 21:28:05,2022-08-15 21:51:48,Queenstown,Little India,4.43,4.45,,Cash Payment,1
SG-TX-100094,2024-12-06 22:44:24,2024-12-06 23:42:07,Bedok,Punggol,15.45,10.09,4.37,VISA,1
SG-TX-100095,2022-11-28 01:41:25,2022-11-28 02:10:45,Clementi,Bedok,19.88,12.7,,VISA,1
SG-TX-100096,2023-06-22 14:25:48,2023-06-22 15:09:51,Bishan,Tiong Bahru,20.64,12.02,3.25,Card,2
SG-TX-100097,2023-03-08 23:05:03,2023-03-08 23:15:59,Clementi,Tiong Bahru,8.08,8.29,,GrabPay,3
SG-TX-100098,2022-09-10 16:23:45,2022-09-10 17:03:42,Clementi,Bukit Timah,13.95,10.71,,NETS,4
SG-TX-100099,2023-04-02 14:29:59,2023-04-02 14:55:25,Tampines,Queenstown,14.29,8.7,3.42,VISA,4
SG-TX-100100,2022-06-16 00:38:59,2022-06-16 01:24:54,Bukit Timah,Little India,12.09,11.13,3.8,Mastercard,3
SG-TX-100101,2022-01-02 19:40:59,2022-01-02 20:37:01,Woodlands,Orchard,16.55,11.5,,CASH,3
SG-TX-100102,2022-11-14 19:58:26,2022-11-14 20:32:40,Serangoon,Tiong Bahru,5.65,3.9,3.14,VISA,2
SG-TX-100103,2022-05-03 19:53:56,2022-05-03 20:04:35,Kallang,Kallang,24.49,14.84,,Cash,2
SG-TX-100104,2023-03-31 14:20:39,2023-03-31 14:51:50,Bukit Timah,,2.9,5.63,3.63,Credit Card,4
SG-TX-100105,2024-08-03 14:09:32,2024-08-03 14:21:18,Queenstown,Bedok,20.82,14.73,3.31,Card,3
SG-TX-100106,2022-06-28 04:13:17,2022-06-28 04:43:00,Raffles Place,Serangoon,15.06,10.17,1.16,Credit Card,3
SG-TX-100107,2022-01-02 08:26:04,2022-01-02 08:34:25,Tiong Bahru,Woodlands,6.5,-46.97,4.75,Mastercard,1
SG-TX-100108,2022-05-02 18:13:10,2022-05-02 18:53:23,Queenstown,Orchard,18.77,12.63,3.54,Mastercard,2
SG-TX-100109,2023-07-11 22:50:02,2023-07-11 23:12:06,Bishan,Bishan,2.57,3.9,,Cash Payment,3
SG-TX-100110,2022-10-29 05:20:35,2022-10-29 05:36:40,,,19.47,10.54,,Cash,2
SG-TX-100111,2023-06-21 11:51:38,2023-06-21 11:57:35,Hougang,Serangoon,14.95,12.31,,NETS,3
SG-TX-100112,2022-02-02 01:20:09,2022-02-02 02:13:59,Pasir Ris,Punggol,3.21,7.14,,GrabPay,4
SG-TX-100113,2023-01-01 01:42:31,2023-01-01 02:33:33,Bishan,Jurong East,111.08,-6.54,,CASH,1
SG-TX-100114,2023-03-26 12:10:48,2023-03-26 13:00:26,Novena,Kallang,18.9,14.65,,Cash,4
SG-TX-100115,2023-04-18 17:37:33,2023-04-18 17:45:44,Buona Vista,Jurong West,7.68,8.94,3.73,credit card,4
SG-TX-100116,2023-08-28 01:40:02,2023-08-28 02:04:15,Woodlands,Clementi,22.29,14.95,2.53,credit card,2
SG-TX-100117,2024-05-05 12:24:22,2024-05-05 13:22:47,Kallang,Orchard,19.17,11.16,1.01,VISA,4
SG-TX-100118,2023-05-28 02:00:57,2023-05-28 02:37:46,Queenstown,Bishan,17.61,14.42,,Cash Payment,1
SG-TX-100119,2024-07-10 23:01:20,2024-07-10 23:13:24,Serangoon,Changi Airport,7.33,8.0,2.08,Card,2
SG-TX-100120,2023-08-04 14:09:36,2023-08-04 14:22:21,Little India,Ang Mo Kio,17.87,11.36,,CASH,1
SG-TX-100121,2022-10-13 08:12:29,2022-10-13 08:31:57,Pasir Ris,Chinatown,23.73,13.58,,Cash Payment,3
SG-TX-100122,2022-09-09 00:05:46,2022-09-09 01:04:14,Bukit Timah,Bukit Timah,2.74,5.52,,Cash Payment,4
SG-TX-100123,2022-12-20 10:47:18,2022-12-20 11:01:37,Jurong West,Buona Vista,8.49,5.21,4.88,Card,3
SG-TX-100124,2023-10-17 19:41:31,2023-10-17 20:36:10,Bedok,Raffles Place,6.25,7.76,4.61,credit card,3
SG-TX-100125,2022-09-23 18:16:08,2022-09-23 18:58:25,Punggol,Ang Mo Kio,10.13,7.03,,cash,1
SG-TX-100126,2024-09-28 22:25:18,2024-09-28 23:21:00,Punggol,Hougang,18.69,12.87,0.98,credit card,4
SG-TX-100127,2023-06-10 22:19:36,2023-06-10 23:10:01,Marina Bay,,12.12,8.57,2.33,credit card,1
SG-TX-100128,2024-08-04 03:31:36,2024-08-04 03:54:52,Pasir Ris,Orchard,14.48,10.02,,GrabPay,3
SG-TX-100129,2024-01-19 20:25:40,2024-01-19 21:16:12,Bedok,Raffles Place,8.2,6.45,,nets,3
SG-TX-100130,2023-01-01 08:30:13,2023-01-01 08:44:31,Marina Bay,Hougang,3.96,5.44,,Cash Payment,4
SG-TX-100131,2022-09-08 03:57:49,2022-09-08 04:18:49,Sengkang,Bugis,7.04,9.9,,GrabPay,4
SG-TX-100132,2024-03-26 08:42:26,2024-03-26 08:59:04,Jurong West,Tampines,21.56,15.68,4.4,Credit Card,3
SG-TX-100133,2022-12-29 11:40:22,2022-12-29 11:52:41,Buona Vista,Buona Vista,15.26,11.3,,VISA,3
SG-TX-100134,2022-09-28 13:36:28,2022-09-28 13:46:25,Woodlands,Holland Village,9.76,8.25,,VISA,2
SG-TX-100135,2024-10-16 16:50:13,2024-10-16 17:05:31,Raffles Place,Novena,19.85,14.1,,CASH,3
SG-TX-100136,2023-06-13 23:05:48,2023-06-13 23:17:24,Tampines,Jurong West,2.08,6.53,,Cash Payment,3
SG-TX-100137,2022-02-23 05:33:59,2022-02-23 05:59:54,Kallang,Bishan,6.72,5.68,,NETS,3
SG-TX-100138,2023-06-27 06:22:04,2023-06-27 06:30:59,Chinatown,Clementi,6.14,6.55,2.29,Card,3
SG-TX-100139,2023-05-21 00:05:01,2023-05-21 00:13:23,Paya Lebar,Jurong East,24.64,12.26,,Credit Card,2
SG-TX-100140,2024-08-04 21:49:38,2024-08-04 22:49:04,Serangoon,Hougang,17.8,13.59,1.23,Mastercard,1
SG-TX-100141,2024-02-19 20:49:21,2024-02-19 20:59:10,Jurong West,Jurong West,15.64,-36.61,,CASH,1
SG-TX-100142,2022-07-29 17:27:40,2022-07-29 17:36:44,Tampines,Punggol,0.62,4.3,,Cash Payment,2
SG-TX-100143,2022-06-14 21:32:32,2022-06-14 21:39:11,Queenstown,Chinatown,5.02,3.9,1.27,VISA,2
SG-TX-100144,2023-10-24 12:57:05,2023-10-24 13:09:22,,Tiong Bahru,16.07,12.05,,Mastercard,3
SG-TX-100145,2022-02-21 22:07:34,2022-02-21 22:41:36,Buona Vista,Raffles Place,9.8,6.96,,GrabPay,4
SG-TX-100146,2022-12-16 15:23:44,2022-12-16 16:14:13,Paya Lebar,Paya Lebar,23.14,13.32,1.22,VISA,3
SG-TX-100147,2022-06-01 11:21:14,2022-06-01 12:06:39,Kallang,Marina Bay,19.24,13.5,,VISA,4
SG-TX-100148,2022-01-23 12:51:40,2022-01-23 13:28:34,Queenstown,Ang Mo Kio,11.46,9.44,,GrabPay,3
SG-TX-100149,2024-10-04 00:43:31,2024-10-04 00:53:11,Novena,,18.86,11.66,,Cash Payment,4
SG-TX-100150,2022-04-09 10:38:45,2022-04-09 11:26:20,Ang Mo Kio,Punggol,24.4,13.9,,credit card,4
SG-TX-100151,2022-01-11 03:34:09,2022-01-11 03:41:11,Woodlands,Tiong Bahru,11.79,9.4,2.73,credit card,1
SG-TX-100152,2024-10-19 10:47:16,2024-10-19 11:26:58,Ang Mo Kio,Marina Bay,16.24,10.59,,cash,3
SG-TX-100153,2022-07-26 09:37:16,2022-07-26 10:04:46,Pasir Ris,Bukit Timah,23.01,12.59,,Cash Payment,3
SG-TX-100154,2024-06-13 22:44:13,2024-06-13 23:37:44,Hougang,Raffles Place,6.59,-20.01,,Cash,4
SG-TX-100155,2022-02-04 06:52:53,2022-02-04 07:14:47,Little India,Woodlands,22.22,14.41,,cash,3
SG-TX-100156,2022-06-18 07:08:21,2022-06-18 07:48:27,Little India,Novena,2.89,4.93,,VISA,1
SG-TX-100157,2022-05-02 05:59:51,2022-05-02 06:29:02,Woodlands,Bukit Timah,16.39,9.15,,Cash,1
SG-TX-100158,2024-02-14 01:32:13,2024-02-14 02:05:56,Hougang,Holland Village,19.68,14.24,2.42,Mastercard,1
SG-TX-100159,2023-11-11 16:24:24,2023-11-11 17:21:02,,Newton,15.56,6.79,,CASH,1
SG-TX-100160,2023-06-06 03:36:19,2023-06-06 04:20:31,Holland Village,Tiong Bahru,12.64,8.92,,Cash Payment,1
SG-TX-100161,2022-09-22 20:04:11,2022-09-22 20:31:59,Paya Lebar,Novena,15.63,10.0,,CASH,4
SG-TX-100162,2022-04-08 09:22:20,2022-04-08 09:51:56,Chinatown,Holland Village,4.22,6.02,,Cash Payment,2
SG-TX-100163,2023-09-16 20:33:13,2023-09-16 21:16:58,Buona Vista,Woodlands,5.78,7.34,,Nets,3
SG-TX-100164,2022-09-10 20:42:30,2022-09-10 21:06:32,Clementi,Tampines,7.11,8.79,,Cash Payment,4
SG-TX-100165,2023-10-09 20:29:57,2023-10-09 20:44:10,Pasir Ris,Punggol,15.15,9.65,,cash,3
SG-TX-100166,2024-01-24 11:09:33,2024-01-24 11:40:16,Ang Mo Kio,Bugis,11.33,9.88,,CASH,2
SG-TX-100167,2024-07-19 23:32:49,2024-07-19 23:41:34,Bugis,Toa Payoh,6.49,7.11,2.3,VISA,2
SG-TX-100168,2023-06-26 09:46:52,2023-06-26 10:01:12,Newton,Clementi,22.13,11.29,,credit card,4
SG-TX-100169,2022-01-06 04:43:03,2022-01-06 05:11:11,Raffles Place,Holland Village,9.66,11.1,,GRAB,3
SG-TX-100170,2022-11-04 14:39:38,2022-11-04 15:28:26,Punggol,Toa Payoh,11.43,6.88,,Credit Card,4
SG-TX-100171,2024-07-24 07:01:48,2024-07-24 07:49:46,Marina Bay,Jurong East,10.54,9.27,,Mastercard,1
SG-TX-100172,2023-08-08 10:38:00,2023-08-08 10:57:20,Changi Airport,Bukit Timah,4.96,6.72,,VISA,1
SG-TX-100173,2023-11-10 13:18:30,2023-11-10 13:46:42,Toa Payoh,Bukit Timah,18.42,12.6,,GrabPay,1
SG-TX-100174,2023-05-17 18:35:03,2023-05-17 18:48:29,Ang Mo Kio,Chinatown,11.49,8.33,,Mastercard,3
SG-TX-100175,2022-06-28 08:48:16,2022-06-28 09:34:48,Queenstown,Newton,0.9,5.55,,CASH,3
SG-TX-100176,2024-09-09 18:53:39,2024-09-09 19:12:11,Bishan,Bugis,24.12,12.41,,VISA,2
SG-TX-100177,2024-04-27 03:20:42,2024-04-27 04:09:40,Sengkang,Bukit Timah,20.49,-31.24,,GRAB,2
SG-TX-100178,2024-12-26 17:18:17,2024-12-26 18:09:35,Bukit Timah,Jurong East,18.23,11.26,,Mastercard,3
SG-TX-100179,2024-07-26 14:50:58,2024-07-26 15:33:51,Holland Village,Marina Bay,21.79,12.69,,nets,4
SG-TX-100180,2022-11-16 01:58:11,2022-11-16 02:21:20,Tiong Bahru,Pasir Ris,22.72,14.77,,GrabPay,4
SG-TX-100181,2022-10-06 16:08:48,2022-10-06 17:06:12,,Buona Vista,8.77,9.46,,CASH,2
SG-TX-100182,2022-09-30 07:52:16,2022-09-30 08:34:59,Buona Vista,Tiong Bahru,15.47,10.35,,Grab,3
SG-TX-100183,2024-10-03 23:56:56,2024-10-04 00:37:27,Buona Vista,Marina Bay,15.42,12.01,1.82,VISA,1
SG-TX-100184,2023-09-03 09:37:32,2023-09-03 10:29:38,Tiong Bahru,Orchard,7.05,7.15,1.66,Mastercard,4
SG-TX-100185,2023-05-14 02:02:53,2023-05-14 02:56:21,Novena,Tampines,5.94,5.23,1.16,VISA,1
SG-TX-100186,2024-11-27 05:08:53,2024-11-27 05:18:09,Bugis,Jurong East,3.29,4.99,,GrabPay,2
SG-TX-100187,2023-10-24 08:28:36,2023-10-24 09:22:05,Woodlands,Tampines,16.65,10.94,,credit card,3
SG-TX-100188,2024-09-23 17:41:55,2024-09-23 18:28:59,Little India,Punggol,19.63,11.69,1.82,Credit Card,4
SG-TX-100189,2024-12-15 04:13:16,2024-12-15 04:29:37,Changi Airport,Ang Mo Kio,19.14,13.16,,cash,1
SG-TX-100190,2022-03-29 01:44:15,2022-03-29 02:06:10,Orchard,Punggol,8.25,7.96,1.23,credit card,3
SG-TX-100191,2023-02-01 05:50:42,2023-02-01 06:37:05,Bukit Timah,Woodlands,5.53,4.0,,GrabPay,1
SG-TX-100192,2024-03-15 14:48:00,2024-03-15 15:04:54,Hougang,Jurong East,11.61,6.65,,Mastercard,1
SG-TX-100193,2024-06-10 05:20:36,2024-06-10 05:50:28,Toa Payoh,Jurong West,13.9,10.79,,cash,-1
SG-TX-100194,2022-06-12 17:44:55,2022-06-12 18:27:48,Bukit Timah,Toa Payoh,23.02,13.04,,Grab,3
SG-TX-100195,2022-12-15 23:10:13,2022-12-15 23:50:59,Paya Lebar,Orchard,21.93,14.22,,Grab,2
SG-TX-100196,2023-08-24 19:08:20,2023-08-24 20:03:22,Little India,Newton,22.94,15.4,2.09,Card,4
SG-TX-100197,2024-05-25 22:30:44,2024-05-25 22:41:52,Punggol,Hougang,21.33,11.59,,Cash Payment,3
SG-TX-100198,2022-05-04 19:29:26,2022-05-04 19:50:39,Woodlands,Holland Village,24.13,12.64,4.29,Mastercard,2
SG-TX-100199,2022-11-21 21:38:02,2022-11-21 22:37:12,Punggol,Bishan,11.9,11.77,,cash,2
SG-TX-100200,2022-08-26 03:01:12,2022-08-26 03:37:29,,Ang Mo Kio,1.66,5.18,,CASH,2
SG-TX-100201,2023-07-19 21:03:32,2023-07-19 21:22:12,Jurong West,Buona Vista,2.55,4.42,,Credit Card,1
SG-TX-100202,2023-03-30 18:32:32,2023-03-30 18:53:28,Toa Payoh,Little India,10.06,7.03,,Grab,3
SG-TX-100203,2023-11-28 17:45:03,2023-11-28 18:08:42,Jurong East,Serangoon,6.81,6.2,1.6,Credit Card,4
SG-TX-100204,2022-12-15 03:05:15,2022-12-15 03:40:44,Holland Village,Pasir Ris,4.66,4.21,,GRAB,2
SG-TX-100205,2024-06-21 07:27:00,2024-06-21 07:47:38,Bishan,Bugis,23.85,15.96,,Grab,2
SG-TX-100206,2022-03-27 14:33:47,2022-03-27 15:12:59,Novena,Little India,5.29,5.11,,Cash Payment,4
SG-TX-100207,2024-08-02 14:52:30,2024-08-02 15:21:59,Orchard,Bedok,24.0,16.34,,Cash,3
SG-TX-100208,2022-02-02 16:46:25,2022-02-02 17:24:59,Hougang,Bukit Timah,19.14,11.91,,Mastercard,2
SG-TX-100209,2024-03-17 13:00:05,2024-03-17 13:13:36,Paya Lebar,,16.2,9.63,,GRAB,1
SG-TX-100210,2023-01-15 17:46:28,2023-01-15 18:25:45,Hougang,Clementi,17.06,10.94,,Mastercard,4
SG-TX-100211,2023-02-25 03:14:14,2023-02-25 04:10:05,Woodlands,Raffles Place,8.62,3.9,1.11,credit card,3
SG-TX-100212,2022-01-21 20:40:27,2022-01-21 20:52:52,Bugis,Buona Vista,16.34,11.07,0.53,Mastercard,-1
SG-TX-100213,2024-02-09 12:02:19,2024-02-09 12:25:19,,Changi Airport,5.07,5.93,,credit card,2
SG-TX-100214,2022-07-01 08:59:23,2022-07-01 09:42:31,Bishan,Hougang,23.47,15.7,,credit card,1
SG-TX-100215,2023-12-24 10:27:34,2023-12-24 11:06:31,Bugis,Marina Bay,7.89,4.62,,Cash Payment,2
SG-TX-100216,2024-03-05 19:13:19,2024-03-05 19:55:25,Kallang,Holland Village,6.75,8.68,,Cash,4
SG-TX-100217,2024-07-15 09:09:24,2024-07-15 09:45:10,Toa Payoh,Orchard,17.92,13.2,,CASH,2
